2011-09-07 18:25 Test Hex(9Q) added 29 Yellow
2011-09-07 18:25 Test Hex(22S) found Fertile 0
2011-09-07 18:25 Test Hex(22R) found Fertile 0
2011-09-07 18:25 Test Hex(26V) found Fertile 0
2011-09-07 18:25 Test Hex(32I) found Fertile 0
2011-09-07 18:25 Test Hex(25K) found Fertile 0
2011-09-07 18:25 Test Hex(25I) found Fertile 0
2011-09-07 18:25 Test Hex(10Z) found Fertile 0
2011-09-07 18:25 Test Hex(5N) found Fertile 0
2011-09-07 18:25 Test Hex(6O) found Fertile 0
2011-09-07 18:25 Test Hex(7N) found Fertile 0
2011-09-07 18:25 Test Hex(17AA) added Green Den
2011-09-07 18:25 Test Hex(18AA) added Fertile 0
2011-09-07 18:25 Test Hex(17Z) added Fertile 0
2011-09-07 18:25 Test Hex(17AA) added 29 Green
2011-09-07 18:25 Test Hex(1G) found Fertile 0
2011-09-07 18:25 Test Hex(27N) found Fertile 0
2011-09-07 18:25 Test Hex(26V) found Fertile 0
2011-09-07 18:25 Test Hex(26U) found Fertile 0
2011-09-07 18:25 Test Hex(26T) found Fertile 0
2011-09-07 18:25 Test Hex(5R) found Fertile 0
2011-09-07 18:25 Test Hex(11F) found Grey Den
2011-09-07 18:25 Test Hex(26Z) found Fertile 0
2011-09-07 18:25 Test Hex(14AD) found Fertile 0
2011-09-07 18:25 Test Hex(25AD) found Green Den
2011-09-07 18:25 Test Hex(5U) added Red Den
2011-09-07 18:25 Test Hex(6U) added Fertile 0
2011-09-07 18:25 Test Hex(5T) added Fertile 0
2011-09-07 18:25 Test Hex(5U) added 29 Red
2011-09-07 18:25 Test Hex(19F) found Fertile 0
2011-09-07 18:25 Test Hex(9K) found Fertile 0
2011-09-07 18:25 Test Hex(9I) found Fertile 0
2011-09-07 18:25 Test Hex(2N) found Fertile 0
2011-09-07 18:25 Test Hex(26Z) found Fertile 0
2011-09-07 18:25 Test Hex(26AA) found Fertile 0
2011-09-07 18:25 Test Hex(18O) found Red Den
2011-09-07 18:25 Test Hex(15V) added Grey Den
2011-09-07 18:25 Test Hex(14U) added Fertile 0
2011-09-07 18:25 Test Hex(15V) added 14 Grey
2011-09-07 18:25 Test Hex(25AD) found Green Den
2011-09-07 18:25 Test Hex(5A) found Fertile 0
2011-09-07 18:25 Test Hex(12H) added Yellow Den
2011-09-07 18:25 Test Hex(12G) added Fertile 0
2011-09-07 18:25 Test Hex(12H) added 14 Yellow
2011-09-07 18:25 Test Hex(3J) added Grey Den
2011-09-07 18:25 Test Hex(2K) added Fertile 0
2011-09-07 18:25 Test Hex(4J) added Fertile 0
2011-09-07 18:25 Test Hex(2I) added Fertile 0
2011-09-07 18:25 Test Hex(3J) added 44 Grey
2011-09-07 18:25 Test Hex(9AE) found Yellow Den
2011-09-07 18:25 Test Hex(9Z) found Fertile 0
2011-09-07 18:25 Test Hex(10Z) found Fertile 0
2011-09-07 18:25 Test Hex(17J) added Grey Den
2011-09-07 18:25 Test Hex(17K) added Fertile 0
2011-09-07 18:25 Test Hex(17J) added 14 Grey
2011-09-07 18:25 Test Hex(17B) found Fertile 0
2011-09-07 18:25 Test Hex(18C) found Fertile 0
2011-09-07 18:25 Test Hex(20F) found Fertile 0
2011-09-07 18:25 Test Hex(13D) found Fertile 0
2011-09-07 18:25 Test Hex(13S) found Grey Den
2011-09-07 18:25 Test Hex(27J) added Green Den
2011-09-07 18:25 Test Hex(26J) added Fertile 0
2011-09-07 18:25 Test Hex(26K) added Fertile 0
2011-09-07 18:25 Test Hex(27J) added 29 Green
2011-09-07 18:25 Test Hex(18V) found Green Den
2011-09-07 18:25 Test Hex(22C) found Fertile 0
2011-09-07 18:25 Test Hex(26C) found Grey Den
2011-09-07 18:25 Test Hex(18O) found Red Den
2011-09-07 18:25 Test Hex(29G) found Fertile 0
2011-09-07 18:25 Test Hex(1D) added Green Den
2011-09-07 18:25 Test Hex(1E) added Fertile 0
